operator,class,bugSeverity,stubborn,killed,subject,categories,labels,testRequirement,candidate
EventHandlerAdd,eq,0.5,0.0,False,claroline,['none'],['none'],['none'],EventHandlerAdd_AddCourseEventTest_34_-HTML1-BODY1-DIV1-DIV1-DIV3-DIV2-A1
StyleVisibility,eq,0.5,0.0,False,claroline,['none'],['none'],['none'],StyleVisibility_AddUserTest_23_-HTML1-BODY1-DIV1-DIV1-DIV2-DIV1-UL1
StyleColor,eq,0.5,0.0,False,claroline,['none'],['none'],['none'],StyleColor_AddCourseTest_70_-HTML1-BODY1-DIV1-DIV1-DIV3-DIV1-UL1-LI1
AttributeAdd,eq,0.5,0.0,False,claroline,['none'],['none'],['none'],AttributeAdd_AddCourseExerciseTest_35_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV2-FORM1-FIELDSET1-DL1-DD2-DIV1-SPAN1-TABLE1-TBODY1-TR1-TD1-DIV1-SPAN1-TABLE1-TBODY1-TR1-TD2-SPAN1-TABLE1
AttributeReplace,noneq,2.5,3.0,True,collabtive,"['wrongElementState', 'brokenEventHandling']","['wrongPage', 'codeError']",['executeAssertImmediate'],AttributeReplace_CloseTasksProjectPercentageTest_43_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV1-FORM1-FIELDSET1-BUTTON1
StyleColor,noneq,0.5,2.0,False,collabtive,['wrongColor'],['cosmetic'],['assert'],StyleColor_OpenMilestoneTest_38_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV2-H21-A1
SubtreeMove,noneq,2.5,2.0,False,collabtive,"['brokenLink', 'missingElements']","['wrongPage', 'missingInfo']",['execute'],SubtreeMove_EditRoleTest_36_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV5-DIV2-DIV1-TABLE1-TBODY1-TR5-TD1
SubtreeInsert,noneq,2.0,2.0,False,collabtive,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_EditUserRoleTest_38_-HTML1-BODY1-DIV1
AttributeAdd,noneq,2.5,3.0,False,collabtive,['brokenEventHandling'],['codeError'],"['execute', 'executeAssertImmediate']",AttributeAdd_CloseMilestoneTest_39_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV3-DIV1-UL1-LI1-A1
StyleSize,noneq,0.5,2.0,False,collabtive,"['wrongSize', 'wrongPosition']",['cosmetic'],['assert'],StyleSize_CloseTasksTest_44_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV2-DIV1-FORM1-SELECT1
StyleColor,noneq,0.5,2.0,False,collabtive,['wrongColor'],['cosmetic'],['assert'],StyleColor_OpenTasksProjectPercentageTest_51_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV3-DIV5-DIV2-TABLE1-TBODY10
StyleSize,noneq,0.5,2.0,True,collabtive,['wrongPosition'],['cosmetic'],['assert'],StyleSize_AddProjectTest_49_-HTML1-BODY1-DIV1-DIV1-DIV1-DIV1-DIV2-UL1-LI3-A1
TextReplace,noneq,2.0,2.0,False,collabtive,['wrongElements'],['missingInfo'],['assert'],TextReplace_EditProjectTest_36_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV2-H21-A1
SubtreeDelete,noneq,2.5,1.0,True,collabtive,"['brokenLink', 'missingElements']","['wrongPage', 'missingInfo']",['find'],SubtreeDelete_AssignUserToProjectTest_43_-HTML1-BODY1-DIV1-DIV2-DIV3
TextReplace,noneq,2.0,2.0,False,collabtive,['wrongElements'],['missingInfo'],['assert'],TextReplace_CloseTasklistTest_37_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV3-DIV5-DIV2-TABLE1-TBODY5-TR1-TD2-DIV1-STRONG1
SubtreeDelete,noneq,2.0,1.0,False,collabtive,['missingElements'],['missingInfo'],['find'],SubtreeDelete_AddAndRemoveMultipleTasksTest_45_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV3-DIV1-UL1
EventHandlerReplace,noneq,2.5,3.0,False,collabtive,['brokenEventHandling'],['codeError'],['executeAssertImmediate'],EventHandlerReplace_SearchClosedProjectTest_36_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV2-DIV1-DIV1-A1
EventHandlerDelete,noneq,2.5,3.0,False,collabtive,['brokenEventHandling'],['codeError'],['executeAssertImmediate'],EventHandlerDelete_AddTaskDesktopPresentTest_37_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV3-DIV1-DIV2-DIV1-TABLE1-TBODY1-TR3-TD1-A1
TextDelete,noneq,2.0,2.0,False,collabtive,['missingElements'],['missingInfo'],['assert'],TextDelete_OpenTasklistTest_38_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV1-DIV3-DIV1-FORM1-FIELDSET1-DIV1-LABEL1
TextReplace,noneq,2.0,2.0,False,collabtive,['wrongElements'],['missingInfo'],['assert'],TextReplace_CloseTasksTest_38_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV1-DIV5-DIV1-DIV1-FORM1-FIELDSET1-DIV4-DIV1-TABLE1-TBODY1-TR6-TD2
StyleVisibility,noneq,2.5,2.0,False,collabtive,"['missingElements', 'brokenEventHandling']","['missingInfo', 'codeError']","['find', 'assert', 'execute']",StyleVisibility_CloseTasklistTest_38_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV2-DIV1
SubtreeInsert,noneq,2.0,2.0,False,collabtive,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_EditProjectTest_42_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV1
SubtreeInsert,noneq,2.0,2.0,False,collabtive,['missingElements'],['missingInfo'],['assert'],SubtreeInsert_EditRoleTest_36_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV2-DIV1-DIV1
StyleSize,noneq,0.5,2.0,False,collabtive,['wrongSize'],['cosmetic'],['assert'],StyleSize_AddMilestoneTest_37_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV1-DIV3-DIV2-TABLE1-TBODY1-TR1-TD4
TextInsert,noneq,0.5,2.0,False,collabtive,['unExpectedElements'],['cosmetic'],['assert'],TextInsert_EditMilestoneTest_39_-HTML1-BODY1-DIV2
TextDelete,noneq,2.0,2.0,False,collabtive,['missingElements'],['missingInfo'],['assert'],TextDelete_EditUserRoleTest_38_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV1-DIV3-DIV1-DIV1-FORM1-FIELDSET1-DIV5-DIV1-TABLE1-TBODY1-TR8-TD3
AttributeAdd,unknown,0.5,0.0,False,collabtive,['none'],['none'],['none'],AttributeAdd_AssignUserToProjectTest_39_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV1-DIV3-DIV3-DIV1-A1
TextInsert,noneq,2.0,2.0,False,collabtive,['unExpectedElements'],['missingInfo'],['assert'],TextInsert_AddRoleTest_45_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV1-DIV6-TABLE1-TBODY1-TR1-TD2-DIV1-SPAN1
StyleVisibility,noneq,0.5,2.0,False,collabtive,['wrongPosition'],['cosmetic'],['assert'],StyleVisibility_AddProjectTest_49_-HTML1-BODY1-DIV1-DIV1-DIV1-DIV1-DIV2-UL1-LI3-DIV1-UL1-LI3-A1
SubtreeInsert,noneq,2.0,2.0,False,collabtive,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_CloseTasklistTest_38_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV2
AttributeReplace,noneq,2.5,4.0,True,collabtive,['brokenEventHandling'],['codeError'],['executeAssertPropagated'],AttributeReplace_AddTasklistTest_45_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV1-FORM1-FIELDSET1-DIV1-INPUT1
TextReplace,noneq,2.0,2.0,False,collabtive,['wrongElements'],['missingInfo'],['assert'],TextReplace_EditRoleTest_38_-HTML1-BODY1-DIV3-DIV1-DIV1-A1
StyleColor,noneq,0.5,2.0,False,collabtive,['wrongColor'],['cosmetic'],['assert'],StyleColor_EditUserRoleTest_38_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1
SubtreeInsert,noneq,2.0,2.0,False,collabtive,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_AddMilestoneTest_59_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV3-DIV1-UL1
SubtreeInsert,noneq,0.5,2.0,False,collabtive,['wrongPosition'],['cosmetic'],['assert'],SubtreeInsert_SearchClosedProjectTest_36_-HTML1-BODY1-DIV8-DIV1-DIV2-DIV1
StyleSize,noneq,1.0,2.0,False,collabtive,"['wrongSize', 'wrongPosition', 'wrongElementState']","['cosmetic', 'codeError']",['assert'],StyleSize_AddMilestoneTest_37_-HTML1-BODY1-DIV1-DIV2-DIV2
StyleSize,noneq,1.0,2.0,False,collabtive,['wrongSize'],"['cosmetic', 'css']",['assert'],StyleSize_LoginUserTest_36_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV1-DIV2-TABLE1-TBODY1-TR1-TD2-DIV1-DIV1-TABLE1-TBODY9
StyleVisibility,noneq,2.0,2.0,False,collabtive,['missingElements'],['missingInfo'],['assert'],StyleVisibility_AddMilestoneTest_39_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV3-DIV1-UL1-LI1-A1
SubtreeInsert,noneq,2.0,2.0,False,collabtive,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_CloseTasklistTest_37_-HTML1-BODY1-DIV1-DIV1-DIV1
StyleSize,noneq,1.0,2.0,False,collabtive,"['wrongPosition', 'wrongSize']","['cosmetic', 'css']",['assert'],StyleSize_AddProjectTest_49_-HTML1-BODY1-DIV1-DIV1-DIV1-DIV1-DIV2-UL1-LI1-A1
StyleVisibility,noneq,0.5,2.0,False,collabtive,['wrongPosition'],['cosmetic'],['assert'],StyleVisibility_EditProjectTest_35_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV2-DIV2-DIV1-DIV1-FORM1-FIELDSET1-DIV2-DIV1-SPAN1-TABLE1-TBODY1-TR3-TD1-DIV1
SubtreeDelete,noneq,2.5,1.0,True,collabtive,"['missingElements', 'brokenLink']","['missingInfo', 'wrongPage']",['find'],SubtreeDelete_AddMilestoneTest_39_-HTML1-BODY1-DIV1-DIV2-DIV1-UL1-LI2
TextDelete,noneq,2.0,2.0,False,collabtive,['missingElements'],['missingInfo'],['assert'],TextDelete_EditRoleTest_36_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV5-DIV2-DIV1-TABLE1-TBODY1-TR2-TD4
StylePosition,noneq,0.5,2.0,False,collabtive,['wrongPosition'],['cosmetic'],['assert'],StylePosition_AddMilestoneTest_36_-HTML1-BODY1-DIV1-DIV2-DIV1-UL1-LI1-A1
SubtreeDelete,noneq,2.5,1.0,True,collabtive,"['missingElements', 'brokenLink']","['missingInfo', 'wrongPage']",['find'],SubtreeDelete_AddProjectTest_49_-HTML1-BODY1-DIV1-DIV1-DIV1-DIV1-DIV2-UL1-LI4
StyleColor,noneq,0.5,2.0,False,collabtive,['wrongColor'],['cosmetic'],['assert'],StyleColor_EditUserRoleTest_39_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV1-DIV3-DIV2-DIV2-DIV1-DIV1
SubtreeInsert,noneq,2.0,2.0,False,collabtive,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_AddRoleTest_37_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV1-DIV3-DIV2-DIV2-DIV1-DIV1-UL1-LI1-DIV1-TABLE1-TBODY1-TR2
StyleVisibility,noneq,2.5,2.0,False,collabtive,"['missingElements', 'brokenLink']","['missingInfo', 'wrongPage']",['assert'],StyleVisibility_AddAndRemoveLateMilestoneTest_48_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV3-DIV1-UL1-LI1-A2
EventHandlerDelete,eq,0.5,0.0,False,collabtive,['none'],['none'],['none'],EventHandlerDelete_AddProjectTest_36_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV1-DIV3-DIV1-DIV1-FORM1-FIELDSET1-DIV5-DIV1-TABLE1-TBODY1-TR4-TD3
StyleVisibility,eq,0.5,0.0,False,collabtive,['none'],['none'],['none'],StyleVisibility_AddProjectTest_35_-HTML1-BODY1-DIV1-DIV1-DIV1-DIV1-DIV1-DIV1-H11-A1
TextReplace,eq,0.5,0.0,False,collabtive,['none'],['none'],['none'],TextReplace_OpenMilestoneTest_38_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV1-DIV3-DIV1-DIV1-FORM1-FIELDSET1-DIV2-DIV1-SPAN1-TABLE1-TBODY1-TR1-TD1-DIV1-SPAN1-TABLE1-TBODY1-TR1-TD3-A1-SPAN2
StyleColor,eq,0.5,0.0,False,collabtive,['none'],['none'],['none'],StyleColor_AddProjectTest_26_-HTML1-BODY1-DIV1-DIV1-FORM1-FIELDSET1-DIV4
StyleSize,eq,0.5,0.0,False,collabtive,['none'],['none'],['none'],StyleSize_EditRoleTest_36_-HTML1-BODY1-DIV1-DIV2-DIV1-UL1-LI1-A1
AttributeAdd,eq,0.5,0.0,False,collabtive,['none'],['none'],['none'],AttributeAdd_AddTasklistTest_49_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV2-H21-A1
StylePosition,noneq,2.5,1.0,False,mrbs,"['brokenLink', 'missingElements']","['missingInfo', 'wrongPage']",['find'],StylePosition_RemoveEntryTest_37_-HTML1-BODY1-DIV3-DIV1-DIV2-SPAN14-A1
StyleSize,noneq,1.0,2.0,False,mrbs,['wrongSize'],"['cosmetic', 'css']",['assert'],StyleSize_AddEntryTest_49_-HTML1-BODY1-DIV2-TABLE1-TBODY1-TR15-TD1-DIV1-A1
SubtreeDelete,noneq,2.5,1.0,False,mrbs,"['missingElements', 'brokenLink']","['missingInfo', 'wrongPage']",['find'],SubtreeDelete_AddMultipleEntriesDifferentRoomsSameDayTest_60_-HTML1-BODY1-DIV2-TABLE1-TBODY1-TR20
StyleSize,noneq,1.0,2.0,False,mrbs,"['wrongSize', 'wrongPosition']","['cosmetic', 'css']",['assert'],StyleSize_AddMultipleEntriesDifferentRoomsDifferentDaysTest_58_-HTML1-BODY1-DIV2-TABLE1-TBODY1-TR17-TD1
SubtreeDelete,noneq,2.5,1.0,True,mrbs,"['missingElements', 'brokenLink', 'brokenEventHandling']","['missingInfo', 'wrongPage', 'search']",['find'],SubtreeDelete_AddMultipleEntriesSameRoomDifferentDaysTest_60_-HTML1-BODY1-DIV1-TABLE1-TBODY1-TR1-TD6
StylePosition,noneq,1.0,2.0,True,mrbs,['wrongPosition'],"['cosmetic', 'css']",['assert'],StylePosition_RemoveEntryTest_37_-HTML1-BODY1-DIV3-DIV3-DIV2-SPAN1
AttributeDelete,noneq,2.5,3.0,False,mrbs,['brokenLink'],['codeError'],['executeAssertImmediate'],AttributeDelete_AddBuildingTest_24_-HTML1-BODY1-DIV3-DIV3-DIV2-A7
TextReplace,noneq,2.0,2.0,False,mrbs,['unExpectedElements'],['missingInfo'],['assert'],TextReplace_AddBuildingTest_35_-HTML1-BODY1-DIV2-DIV3-DIV1-DIV1-DIV6-DIV1-DIV1-TABLE1-THEAD1-TR1-TH1
StylePosition,noneq,2.5,2.0,False,mrbs,['brokenLink'],['wrongPage'],['execute'],StylePosition_CheckBuildingRoomTest_35_-HTML1-BODY1-DIV2-TABLE1-TBODY1-TR22-TD1-DIV1-A1
StyleVisibility,noneq,2.5,1.0,False,mrbs,"['brokenLink', 'missingElements']","['wrongPage', 'missingInfo']",['find'],StyleVisibility_AddBuildingTest_24_-HTML1-BODY1-DIV3-DIV1-DIV1-A1
AttributeReplace,noneq,2.5,3.0,True,mrbs,"['wrongElementState', 'brokenEventHandling']","['missingInfo', 'codeError']","['execute', 'executeAssertImmediate']",AttributeReplace_AddLongNameRoomNegativeTest_54_-HTML1-BODY1-DIV1-TABLE1-TBODY1-TR1-TD7-DIV1-FORM1-DIV1-INPUT5
StyleSize,noneq,0.5,2.0,False,mrbs,['wrongSize'],['cosmetic'],['assert'],StyleSize_AddMultipleEntriesDifferentRoomsSameDayTest_52_-HTML1-BODY1-DIV2-TABLE1-TBODY1-TR9-TD1
StylePosition,noneq,2.5,2.0,False,mrbs,"['brokenLink', 'missingElements']","['wrongPage', 'missingInfo']",['execute'],StylePosition_AddBuildingTest_24_-HTML1-BODY1-DIV2-TABLE1-THEAD1-TR1-TH5-A1
TextReplace,noneq,2.0,2.0,False,mrbs,['wrongElements'],['missingInfo'],['assert'],TextReplace_AddEntryTest_46_-HTML1-BODY1-DIV2-TABLE1-TBODY1-TR3-TD1-DIV1-A1
StylePosition,noneq,2.5,3.0,False,mrbs,"['brokenLink', 'missingElements']",['wrongPage'],['executeAssertImmediate'],StylePosition_AddBuildingTest_24_-HTML1-BODY1-DIV2-TABLE1-TBODY1-TR10-TD3
StyleColor,noneq,1.0,2.0,False,mrbs,['wrongColor'],"['cosmetic', 'css']",['assert'],StyleColor_AddMultipleEntriesSameRoomDifferentDaysTest_52_-HTML1-BODY1-DIV2-DIV1-DIV2-DIV2-TABLE1-TBODY1-TR1-TD7-A1
AttributeDelete,noneq,2.5,3.0,False,mrbs,['brokenLink'],['wrongPage'],['executeAssertImmediate'],AttributeDelete_AddEntryTest_46_-HTML1-BODY1-DIV2-TABLE1-TBODY1-TR13-TD1-DIV1-A1
SubtreeDelete,noneq,2.5,1.0,True,mrbs,"['missingElements', 'brokenLink']","['missingInfo', 'wrongPage']",['find'],SubtreeDelete_AddMultipleEntriesSameRoomDifferentDaysTest_52_-HTML1-BODY1-DIV2-DIV1-DIV2-DIV2-TABLE1-TBODY1-TR2-TD5
StyleSize,noneq,1.0,2.0,False,mrbs,['wrongSize'],"['cosmetic', 'css']",['assert'],StyleSize_CheckBuildingRoomTest_35_-HTML1-BODY1-DIV2-TABLE2-TBODY1-TR1-TD2
StyleVisibility,noneq,2.5,3.0,True,mrbs,['missingElements'],"['missingInfo', 'wrongPage']",['executeAssertImmediate'],StyleVisibility_AddMultipleEntriesSameRoomDifferentDaysTest_37_-HTML1-BODY1-DIV2-DIV1-DIV2-DIV2-TABLE1-TBODY1-TR2-TD7-A1
StylePosition,noneq,1.0,2.0,False,mrbs,['wrongPosition'],"['css', 'cosmetic']",['assert'],StylePosition_AddMultipleEntriesSameRoomDifferentDaysTest_37_-HTML1-BODY1-DIV3-DIV1-DIV2-SPAN4-A1
SubtreeInsert,noneq,2.0,2.0,False,mrbs,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_AddBuildingTest_24_-HTML1-BODY1-DIV3-DIV2-DIV2
EventHandlerAdd,noneq,2.5,3.0,False,mrbs,['brokenEventHandling'],['codeError'],['executeAssertImmediate'],EventHandlerAdd_AddBuildingTest_29_-HTML1-BODY1-DIV1-TABLE1-TBODY1-TR1-TD6-FORM1-DIV1-INPUT1
SubtreeMove,noneq,1.0,2.0,False,mrbs,['wrongPosition'],"['cosmetic', 'css']",['assert'],SubtreeMove_AddBuildingTest_24_-HTML1-BODY1-DIV3-DIV1-DIV2-SPAN2
StylePosition,noneq,1.0,2.0,False,mrbs,['wrongPosition'],"['cosmetic', 'css']",['assert'],StylePosition_AddBuildingTest_24_-HTML1-BODY1-DIV2-TABLE1-THEAD1-TR1-TH1
EventHandlerAdd,noneq,2.5,3.0,False,mrbs,['brokenEventHandling'],['codeError'],['executeAssertImmediate'],EventHandlerAdd_AddMultipleEntriesDifferentRoomsSameDayTest_60_-HTML1-BODY1-DIV2-TABLE1-TBODY1-TR23-TD1-DIV1-A1
SubtreeDelete,noneq,2.5,1.0,False,mrbs,"['missingElements', 'brokenLink']","['missingInfo', 'wrongPage']",['find'],SubtreeDelete_RemoveEntryTest_37_-HTML1-BODY1-DIV3-DIV1
StyleSize,noneq,1.0,2.0,False,mrbs,"['wrongSize', 'wrongPosition']","['cosmetic', 'css']",['assert'],StyleSize_AddMultipleEntriesDifferentRoomsSameDayTest_38_-HTML1-BODY1-DIV2-FORM1-FIELDSET1-DIV6-DIV1-SELECT1-OPTION3
StylePosition,noneq,0.5,2.0,False,mrbs,['wrongPosition'],['cosmetic'],['assert'],StylePosition_AddMultipleRoomsTest_51_-HTML1-BODY1-DIV2-DIV3-DIV1-DIV1-DIV6-DIV3-DIV2-TABLE1
SubtreeInsert,noneq,2.0,2.0,False,mrbs,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_AddMultipleEntriesDifferentRoomsSameDayTest_44_-HTML1-BODY1-DIV2-TABLE1-TBODY1-TR19
SubtreeMove,noneq,0.5,2.0,True,mrbs,['wrongPosition'],['cosmetic'],['assert'],SubtreeMove_AddBuildingTest_24_-HTML1-BODY1-DIV2-DIV1-DIV2-DIV3-TABLE1-TBODY1-TR2-TD6
EventHandlerAdd,noneq,2.5,3.0,False,mrbs,['brokenEventHandling'],['codeError'],['executeAssertImmediate'],EventHandlerAdd_AddBuildingTest_24_-HTML1-BODY1-DIV2-DIV1-DIV2-DIV2-TABLE1-THEAD1-TR2-TH7
StyleSize,noneq,1.0,2.0,True,mrbs,"['wrongSize', 'wrongPosition']","['cosmetic', 'css']",['assert'],StyleSize_AddRoomTest_25_-HTML1-BODY1-DIV2-DIV1-DIV1-UL1-LI2-A1
AttributeDelete,noneq,2.5,3.0,True,mrbs,['brokenLink'],['wrongPage'],['executeAssertImmediate'],AttributeDelete_RemoveEntryTest_37_-HTML1-BODY1-DIV1-TABLE1-TBODY1-TR1-TD4-A1
StyleColor,noneq,1.0,2.0,False,mrbs,['wrongColor'],"['cosmetic', 'css']",['assert'],StyleColor_AddAndRemoveSerialEntryTest_57_-HTML1-BODY1-DIV3-DIV3-DIV2-A8
StylePosition,noneq,1.0,2.0,False,mrbs,"['wrongPosition', 'brokenEventHandling']","['codeError', 'cosmetic', 'css']",['execute'],StylePosition_AddBuildingTest_24_-HTML1-BODY1-DIV2-TABLE1-TBODY1-TR12
StyleVisibility,noneq,2.5,2.0,False,mrbs,"['missingElements', 'brokenLink']","['wrongPage', 'missingInfo']",['execute'],StyleVisibility_AddBuildingTest_24_-HTML1-BODY1-DIV2-DIV1-DIV2-DIV1-TABLE1-TBODY1-TR5-TD3-A1
StyleSize,noneq,1.0,2.0,False,mrbs,['wrongSize'],"['cosmetic', 'css']",['assert'],StyleSize_AddMultipleEntriesDifferentRoomsSameDayTest_44_-HTML1-BODY1-DIV2-TABLE1-TBODY1-TR23-TD1-DIV1-A1
SubtreeInsert,noneq,2.0,2.0,False,mrbs,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_RemoveEntryTest_37_-HTML1-BODY1-DIV1-TABLE1-TBODY1-TR1-TD1-DIV1-DIV2
SubtreeMove,noneq,2.5,3.0,False,mrbs,"['wrongElements', 'brokenLink']","['wrongPage', 'missingInfo']",['executeAssertImmediate'],SubtreeMove_AddBuildingTest_24_-HTML1-BODY1-DIV2-DIV1-DIV2-DIV1-TABLE1-TBODY1-TR4-TD4
SubtreeMove,noneq,0.5,2.0,False,mrbs,['wrongPosition'],['cosmetic'],['assert'],SubtreeMove_AddBuildingTest_35_-HTML1-BODY1-DIV2-DIV3-DIV1-DIV1-DIV6-DIV2-DIV2-TABLE1-TBODY1-TR4-TD1-DIV1
StyleColor,noneq,0.5,2.0,False,mrbs,['wrongColor'],['cosmetic'],['assert'],StyleColor_AddMultipleEntriesDifferentRoomsSameDayTest_60_-HTML1-BODY1-DIV2-DIV3-DIV1
StyleSize,noneq,0.5,2.0,True,mrbs,['wrongSize'],['cosmetic'],['assert'],StyleSize_AddBuildingTest_24_-HTML1-BODY1-DIV2-DIV1-DIV2-DIV3-TABLE1-TBODY1-TR3-TD3-A1
TextDelete,noneq,2.0,2.0,False,mrbs,['missingElements'],['missingInfo'],['assert'],TextDelete_AddBuildingTest_24_-HTML1-BODY1-DIV2-DIV1-DIV2-DIV2-TABLE1-TBODY1-TR3-TD1-A1
SubtreeInsert,noneq,2.0,2.0,False,mrbs,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_AddBuildingTest_24_-HTML1-BODY1-DIV2-TABLE1-TBODY1-TR7-TD2-DIV1
TextInsert,noneq,2.0,2.0,False,mrbs,['unExpectedElements'],['missingInfo'],['assert'],TextInsert_AddEntryTest_39_-HTML1-BODY1-DIV2-FORM1-FIELDSET1-DIV2-TEXTAREA1
StylePosition,noneq,1.0,2.0,False,mrbs,['wrongPosition'],"['cosmetic', 'css']",['assert'],StylePosition_AddMultipleEntriesSameRoomDifferentDaysTest_60_-HTML1-BODY1-DIV3-DIV3-DIV2
EventHandlerAdd,eq,0.5,0.0,False,mrbs,['none'],['none'],['none'],EventHandlerAdd_AddMultipleEntriesSameRoomDifferentDaysTest_52_-HTML1-BODY1-DIV3-DIV2-DIV2-A4
